City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,Thompson,55.7435,-97.8558,-20.2,69,75,13.8,CA,1/30/2021
174,San Patricio,28.017,-97.5169,62.6,77,90,12.66,US,1/30/2021
175,Provost,52.3501,-110.2683,-13,77,100,11.5,CA,1/30/2021
176,Boende,-0.2167,20.8667,72.23,92,83,1.88,CD,1/30/2021
177,Kānkon,15.0167,74.0167,71.6,94,0,4.61,IN,1/30/2021
178,Ürümqi,43.801,87.6005,10.4,85,89,2.24,CN,1/30/2021
179,Acapulco de Juárez,16.8634,-99.8901,80.6,69,75,2.3,MX,1/30/2021
180,Dubovka,49.0583,44.829,23,68,75,24.61,RU,1/30/2021
181,Puerto Escondido,15.85,-97.0667,80.6,69,75,3.44,MX,1/30/2021
182,Revda,56.801,59.9303,35.6,93,40,11.18,RU,1/30/2021
183,Inhambane,-23.865,35.3833,77.9,87,90,6.71,MZ,1/30/2021
184,Smiltene,57.4244,25.9016,0,89,88,1.01,LV,1/30/2021
185,Narsaq,60.9167,-46.05,12.2,57,0,5.75,GL,1/30/2021
186,Erzin,36.9559,36.2,51.01,81,0,3,TR,1/30/2021
187,Mar del Plata,-38.0023,-57.5575,69.8,46,0,5.75,AR,1/30/2021
188,Coahuayana Viejo,18.7333,-103.6833,73.4,78,40,6.91,MX,1/30/2021
189,Baiyin,36.5583,104.2081,28,35,0,8.95,CN,1/30/2021
190,Sabang,5.8933,95.3214,81.3,77,3,16.89,ID,1/30/2021
191,Sitka,57.0531,-135.33,35.6,87,90,3.58,US,1/30/2021
192,Porto Velho,-8.7619,-63.9039,73.4,94,40,2.35,BR,1/30/2021
193,Hong Kong,22.2855,114.1577,66,82,0,4.76,HK,1/30/2021
194,Grindavik,63.8424,-22.4338,35.6,75,40,17.27,IS,1/30/2021
195,Nizhniy Ufaley,55.9153,59.9842,35.24,90,100,7.02,RU,1/30/2021
196,Touros,-5.1989,-35.4608,77,83,20,4.61,BR,1/30/2021
197,Tam Ky,15.5667,108.4833,68,94,75,1.14,VN,1/30/2021
198,Havre-St-Pierre,50.2334,-63.5986,32,86,90,11.5,CA,1/30/2021
199,Butaritari,3.0707,172.7902,81.39,80,93,17.76,KI,1/30/2021
200,Amazar,53.858,120.875,-11.02,84,100,3.71,RU,1/30/2021
